country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Malaysia,MY,26/12/2021,TV,1,Emily in Paris,Emily in Paris: Season 2,1
Malaysia,MY,26/12/2021,TV,2,The Witcher,The Witcher: Season 2,2
Malaysia,MY,26/12/2021,TV,3,Our Beloved Summer,Our Beloved Summer: Season 1,3
Malaysia,MY,26/12/2021,TV,4,The Silent Sea,The Silent Sea: Season 1,1
Malaysia,MY,26/12/2021,TV,5,The Witcher,The Witcher: Season 1,2
Malaysia,MY,26/12/2021,TV,6,The King's Affection,The King's Affection: Season 1,11
Malaysia,MY,26/12/2021,TV,7,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,1
Malaysia,MY,26/12/2021,TV,8,Money Heist,Money Heist: Part 5,7
Malaysia,MY,26/12/2021,TV,9,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,17
Malaysia,MY,26/12/2021,TV,10,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,3
Malaysia,MY,19/12/2021,TV,1,The King's Affection,The King's Affection: Season 1,10
Malaysia,MY,19/12/2021,TV,2,The Witcher,The Witcher: Season 2,1
Malaysia,MY,19/12/2021,TV,3,Our Beloved Summer,Our Beloved Summer: Season 1,2
Malaysia,MY,19/12/2021,TV,4,Money Heist,Money Heist: Part 5,6
Malaysia,MY,19/12/2021,TV,5,The Witcher,The Witcher: Season 1,1
Malaysia,MY,19/12/2021,TV,6,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,16
Malaysia,MY,19/12/2021,TV,7,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,2
Malaysia,MY,19/12/2021,TV,8,Squid Game,Squid Game: Season 1,14
Malaysia,MY,19/12/2021,TV,9,Money Heist,Money Heist: Part 1,8
Malaysia,MY,19/12/2021,TV,10,Vincenzo,Vincenzo: Season 1,23
Malaysia,MY,12/12/2021,TV,1,Money Heist,Money Heist: Part 5,5
Malaysia,MY,12/12/2021,TV,2,The King's Affection,The King's Affection: Season 1,9
Malaysia,MY,12/12/2021,TV,3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,15
Malaysia,MY,12/12/2021,TV,4,Our Beloved Summer,Our Beloved Summer: Season 1,1
Malaysia,MY,12/12/2021,TV,5,Money Heist,Money Heist: Part 1,7
Malaysia,MY,12/12/2021,TV,6,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,1
Malaysia,MY,12/12/2021,TV,7,Hellbound,Hellbound: Season 1,4
Malaysia,MY,12/12/2021,TV,8,Squid Game,Squid Game: Season 1,13
Malaysia,MY,12/12/2021,TV,9,Rain or Shine,Rain or Shine: Season 1,1
Malaysia,MY,12/12/2021,TV,10,Vincenzo,Vincenzo: Season 1,22
Malaysia,MY,5/12/2021,TV,1,Money Heist,Money Heist: Part 5,4
Malaysia,MY,5/12/2021,TV,2,The King's Affection,The King's Affection: Season 1,8
Malaysia,MY,5/12/2021,TV,3,Hellbound,Hellbound: Season 1,3
Malaysia,MY,5/12/2021,TV,4,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,14
Malaysia,MY,5/12/2021,TV,5,Squid Game,Squid Game: Season 1,12
Malaysia,MY,5/12/2021,TV,6,Lost in Space,Lost in Space: Season 3,1
Malaysia,MY,5/12/2021,TV,7,Arcane,Arcane: Season 1,4
Malaysia,MY,5/12/2021,TV,8,Vincenzo,Vincenzo: Season 1,21
Malaysia,MY,5/12/2021,TV,9,Light the Night,Light the Night: Part 1,1
Malaysia,MY,5/12/2021,TV,10,My Name,My Name: Season 1,8
Malaysia,MY,28/11/2021,TV,1,Hellbound,Hellbound: Season 1,2
Malaysia,MY,28/11/2021,TV,2,The King's Affection,The King's Affection: Season 1,7
Malaysia,MY,28/11/2021,TV,3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,13
Malaysia,MY,28/11/2021,TV,4,Arcane,Arcane: Season 1,3
Malaysia,MY,28/11/2021,TV,5,Squid Game,Squid Game: Season 1,11
Malaysia,MY,28/11/2021,TV,6,Cowboy Bebop,Cowboy Bebop: Season 1,1
Malaysia,MY,28/11/2021,TV,7,My Name,My Name: Season 1,7
Malaysia,MY,28/11/2021,TV,8,Vincenzo,Vincenzo: Season 1,20
Malaysia,MY,28/11/2021,TV,9,The Good Doctor,The Good Doctor: Season 4,4
Malaysia,MY,28/11/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,9
Malaysia,MY,21/11/2021,TV,1,The King's Affection,The King's Affection: Season 1,6
Malaysia,MY,21/11/2021,TV,2,Hellbound,Hellbound: Season 1,1
Malaysia,MY,21/11/2021,TV,3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,12
Malaysia,MY,21/11/2021,TV,4,Squid Game,Squid Game: Season 1,10
Malaysia,MY,21/11/2021,TV,5,My Name,My Name: Season 1,6
Malaysia,MY,21/11/2021,TV,6,Arcane,Arcane: Season 1,2
Malaysia,MY,21/11/2021,TV,7,The Good Doctor,The Good Doctor: Season 4,3
Malaysia,MY,21/11/2021,TV,8,Vincenzo,Vincenzo: Season 1,19
Malaysia,MY,21/11/2021,TV,9,Crash Landing on You,Crash Landing on You: Season 1,8
Malaysia,MY,21/11/2021,TV,10,Inspector Koo,Inspector Koo: Season 1,1
Malaysia,MY,14/11/2021,TV,1,The King's Affection,The King's Affection: Season 1,5
Malaysia,MY,14/11/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,11
Malaysia,MY,14/11/2021,TV,3,My Name,My Name: Season 1,5
Malaysia,MY,14/11/2021,TV,4,Squid Game,Squid Game: Season 1,9
Malaysia,MY,14/11/2021,TV,5,The Good Doctor,The Good Doctor: Season 4,2
Malaysia,MY,14/11/2021,TV,6,Arcane,Arcane: Season 1,1
Malaysia,MY,14/11/2021,TV,7,Narcos: Mexico,Narcos: Mexico: Season 3,1
Malaysia,MY,14/11/2021,TV,8,Vincenzo,Vincenzo: Season 1,18
Malaysia,MY,14/11/2021,TV,9,Oh My Venus,Oh My Venus: Season 1,3
Malaysia,MY,14/11/2021,TV,10,Crash Landing on You,Crash Landing on You: Season 1,7
Malaysia,MY,7/11/2021,TV,1,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,10
Malaysia,MY,7/11/2021,TV,2,My Name,My Name: Season 1,4
Malaysia,MY,7/11/2021,TV,3,The King's Affection,The King's Affection: Season 1,4
Malaysia,MY,7/11/2021,TV,4,Squid Game,Squid Game: Season 1,8
Malaysia,MY,7/11/2021,TV,5,The Good Doctor,The Good Doctor: Season 4,1
